Recipe,Ingredients,Directions
Recipe 1301,"Water, Salt, Cauliflower, Butter, Allpurpose flour, Chicken stock, Garlic powder, Salt, Black pepper powder, Nutmeg powder, Green onion","
In pot,add water,salt,penne pasta and boil for 4 minutes.
Add cauliflowers and boil for 4-5 minutes or until done then strain & set aside.
In wok,add butter and let it melt.
Add all-purpose flour and mix well.
Add chicken stock and mix well for 2 minutes.
Add garlic powder,salt,black pepper powder,nutmeg powder and whisk well.
Turn off the flame,add dijon mustard paste,cheddar cheese and mix well until smooth.
Turn on low flame,add boiled pasta & cauliflower and give it a good mix.
Add cooked chicken and mix well.
Option 1: Baked Cheesy Pasta:
In casserole dish or baking dish,add cooked pasta,breadcrumbs and sprinkle dried parsley.
Bake in pre-heated oven at 180 C for 12-15 minutes or until cheese melts & serve.
Option 2: No Bake Cheesy Pasta:
Turn on the flame,add cheddar cheese and green onion,cover and cook on low flame until cheese melts & serve.














"
Recipe 1302,"Sugar, Water, Allpurpose flour, Nutmeg powder, Cardamom powder, Salt, Yogurt, room temperature, Water, Pistachio","
In saucepan,add sugar and water,mix well and cook on low flame until sugar is dissolved and continue cook until syrup becomes thick.
Add lemon juice,mix well & set aside.
Sugar syrup (sheera) is ready!
In bowl,place sifter,add all-purpose flour,baking soda and sift together.
Add nutmeg powder,cardamom powder,salt and mix well.
Add ghee and mix well.
Add yogurt and mix well until crumbled.
Gradually add water and mix until combined (don’t over knead),cover and let it rest for 15 minutes.
Grease hands and working surface with oil and flatten the dough & roll it.
Cut the dough with the help of the cutter.
Take a small dough,make a ball and with the help of the thumb press from the center.
In wok,add ghee and let it melt,fry dough on low flame for 20-25 minutes.
After frying,add bhalo shahi in warm sugar syrup (sheera) and leave them for 10-15 minutes and take out in a serving plate.
Garnish with pistachio & serve.














"
Recipe 1303,"Cumin seeds, Green chili, Garlic, Onion, Tomato, Capsicum, Carrot, Peas, Red chili powder, Water","
In pot,add olive oil,cumin seeds,green chili,garlic and mix well.
Add onion,mix well and fry until translucent.
Add tomato and mix well.
Add capsicum,carrot,peas,pink salt,red chili powder and mix well.
Cover and cook on low flame for 2-3 minutes.
Add instant oats and mix well for 2 minutes.
Add water,mix well and cook for 3-4 minutes or until done.
Garnish with fresh coriander & serve.








"
Recipe 1304,"Yogurt, Red chili powder, Salt, Turmeric powder, Coriander powder, Butter, Cinnamon stick, Green cardamom, Onion, Ginger garlic, Green chilies, Tomatoes, Cumin seeds, Salt, Turmeric powder, Nutmeg powder, Sugar, Water, Milk, Dried fenugreek leaves, Butter","
In bowl,add yogurt,red chili powder,salt,turmeric powder,coriander powder,garam masala powder,lemon juice and mix well.
Add chicken boneless cubes,mix well and marinate for 30 minutes.
In pot,add oil and marinated chicken,mix well and cook until chicken is done & set aside.
In pot,add butter and let it melt,add cinnamon stick,green cardamom,onion,ginger garlic,green chili and sauté until onion are translucent.
Add grinded tomato,tomato paste and mix well,cover and cook for 4-5 minutes.
Add cumin seeds,salt,turmeric powder,nutmeg powder,paprika powder and sugar,mix well and cook for 2 minutes.
Add water and mix well.
In bowl,add cream,milk and whisk well.
In pot,gradually add cream+milk and mix well.
Now add cooked chicken and mix well.
Add dried fenugreek leaves and mix well.
Garish with butter,cream & serve.












"
Recipe 1305,,
Recipe 1306,"Okra, washed  pat dry, Red chili powder, Turmeric powder, Salt, Coriander powder, Gram flour","
Wash,pat dry and slice okra vertically into 4 pieces.
In bowl,add okra,red chili powder,garam masala powder,turmeric powder,salt and coriander powder, mix well and let it rest for 10 minutes.
Add gram flour,mix well & set aside.
In pot,heat oil and fry until golden & crispy.




"
Recipe 1307,,
Recipe 1308,,
Recipe 1309,,
Recipe 1310,"Jaggery, Milk, Pure clarified butter, Green cardamom, Fennel seeds, Almonds, Coconut, Rice, Pure clarified butter","
In saucepan,add jaggery and milk,mix well and cook until it melts & set aside.
In pot,add pure clarified butter and let it melt.
Add green cardamom,fennel seeds and mix well.
Add almonds and mix well.
Add coconut and fry for 1 minute.
Now add melted jaggery+milk mixture and mix well.
Add rice,give it a good mix and cook until it dries up.
Add pure clarified butter,cover and steam cook on low flame for 5 minutes & serve.








"
Recipe 1311,"Garlic, Ginger, Onion, Yogurt, Red chili powder, Cumin powder, Turmeric powder, Coriander powder, Salt, Onion, Green cardamom, Water, Green chilies, Fresh coriander, Ginger","
In grinder,add garlic,ginger,onion,yogurt,red chili powder,cumin powder,paprika powder,turmeric powder,coriander powder and salt,grind well & set aside.
In pot,add ghee and let it melt,add onion and fry until translucent.
Add green cardamom and mix well.
Add mutton mix boti and mix well until changes color.
Add grinded onion paste,mix well and cook for 2-3 minutes.
Cover and cook for 4-5 minutes.
Add water,mix well and bring it to boil,cover and cook on low flame for 25-30 minutes or until meat is tender then cook on high flame until oil separates.
Add green chilies,fresh coriander and ginger,cover and let it simmer for 2 minutes.








"
Recipe 1312,"White pepper powder, Mace powder, Nutmeg powder, Turmeric powder, Yellow food color, Black pepper powder, Carom seeds, Cumin powder, Red chili powder, Salt, Ginger garlic paste, Green chili, Vinegar, Egg, Water","
In bowl,add white pepper powder,mace powder,nutmeg powder,turmeric powder,garam masala powder,yellow food color,black pepper powder,carom seeds,cumin powder,red chili powder,salt,corn flour,ginger garlic paste,green chili,lemon juice,vinegar,egg and whisk well.
Add marks/cut in whole chicken.
In marination,add whole chicken,mix well and tie the chicken legs.
Let it marinate for 4 hours to overnight in refrigerator.
In pot,add water and heat it,place steam rack and marinated whole chicken,cover and steam cook for 35-40 minutes and basting with the remaining marinade.
After steaming and let it rest for 10 minutes.
In wok,heat oil and deep fry whole chicken until golden brown.
Sprinkle chaat masala & serve.








"
Recipe 1313,"Dried apricots, soaked overnight, Sugar, Water, Apricot almonds, Milk, Sugar, Milk","
Wash and soak dried apricots in enough water for overnight.
Deseed the apricots and keep the hard kernels aside and break the kernels with the help of the cutter.
Throw away the hard covering and keep the apricot almond side for later use.
In pot,add sugar and soaked apricots with water and mix well until sugar dissolves.
Cover and cook on low flame for 10-12 minutes or until apricots gets soft.
Add water and mix well.
Cover and cook for 2 minutes.
Turn off the flame and blend the mixture with the help of the blender until smooth.
Add apricot almonds,mix well & let it cool.
In pot,add milk and sugar,whisk well and bring it to boil.
In bowl,add vanilla custard,milk and mix well.
In milk,gradually add dissolve custard and whisk continually.
In serving bowl,add cooked khubani mixture,prepared custard and garnish with cooked khubani mixture,cream,apricot almonds & serve.













"
Recipe 1314,"Garlic paste, Tomatoes, Green chilies, Black pepper, Salt, Fresh coriander, Ginger","
In wok,add oil and chicken,mix well until changes color.
Add garlic paste,mix well and fry until light golden.
Add tomatoes,cover and cook on low flame for 10-15 minutes or until tomatoes are tender.
Remove skin,mix well and cook on high flame for 2-3 minutes.
Add green chilies and mix well.
Add black pepper crushed,salt and mix well for 1-2 minutes.
Garnish with fresh coriander,ginger & serve.







"
Recipe 1315,,
Recipe 1316,"Vinegar, Black pepper powder, Salt, Sugar, Ginger garlic paste, Capsicum, Tomato, Onion, Pani, Tomatoes, Garlic, Vinegar, Sugar, White pepper powder, Salt, Black pepper, Red chili","
In bowl,add soy sauce,vinegar,black pepper powder,salt,paprika powder,sugar,ginger garlic paste and mix well.
Add chicken boneless cubes,mix well and marinate for 30 minutes.
In pot,add oil,marinated chicken and mix well.
Cover and cook for 3-4 minutes then cook on high flame until dry.
Add capsicum,tomato,onion and mix well for 1-2 minutes and take out in a bowl & set aside.
Cut tomatoes slightly with the help of the knife.
In boiling water,add tomatoes and blanch for 2 minutes and take out in a bowl.
Peel off the skin and cut roughly & let them cool.
In grinder,add tomatoes,grind well & set aside.
In the same pot,add oil,garlic and mix well.
Add grinded tomatoes,tomato ketchup,hot sauce,soy sauce,vinegar,sugar,white pepper powder,salt, black pepper powder,red chili crushed and mix well.
Cover and cook on low flame for 2-3 minutes.
In chicken stock,add corn flour and whisk well.
Add it in pot,mix continuously and cook until desired consistency.
Add cooked chicken & vegetables,mix well and simmer for 1-2 minutes.
Serve with rice.
















"
Recipe 1317,"Water, Tomatoes, Onion, Garlic, Garlic, Cumin seeds, washed, Peas, Salt, Stock","
Cut tomatoes slightly with the help if the knife.
In sauce pan,add water and bring it to boil,add tomatoes and blanch for 1-2 minutes then remove skin and let it cool.
In grinder,add tomatoes,onion,garlic and fresh parsley,grind well & set aside.
In pot,add olive oil,garlic,cumin seeds,brown rice and mix well for 3-4 minutes.
Add jalapenos,tomato paste and mix well.
Add peas,prepared tomato sauce,salt,paprika powder and mix well.
Add stock,mix well and bring it to boil.
Add lemon juice and mix well.
Cover partially and cook on medium low flame for 15 minutes then mix well.
Cover and steam cook for 10-12 minutes & serve.










"
Recipe 1318,"Beetroot, Water, Whole wheat flour, Nigella seeds, Cumin seeds, Red chili powder, Cumin powder, Coriander powder, Cinnamon powder, Ginger garlic paste, Carrot, Cucumber, Capsicum","
In grinder,add beetroot and water,grind well and set aside.
In bowl,add whole wheat flour,nigella seeds,pink salt,cumin seeds and mix well.
Gradually add grinded beetroot mixture,mix well and knead until dough is formed and let it rest for 15 minutes.
Take a small dough and make a ball,sprinkle flour and roll out dough with the help of rolling pin and prick with fork.
Now hang the taco tortillas on oven rack and bake in preheated oven at 180 C for 10 minutes.
After baking,let it cool.
In bowl,add chicken fillets,red chili powder,cumin powder,pink salt,coriander powder,cinnamon powder,paprika powder,ginger garlic paste and lemon juice,mix well and marinate for 30 minutes.
In grill pan,add olive oil and marinated chicken,grill from both sides until done.
Cut into sides shape or slices & set aside.
In bowl,add ice berg,carrot,cucumber,corns kernels,capsicum,lemon juice and mix well.
To assemble tacos,add salad,chicken slices,raita/green yogurt sauce & serve.











"
Recipe 1319,"Yogurt, Garlic, Salt, Black pepper powder, Cumin powder, optional","
In bowl,add chicken boneless cubes,yogurt,olive oil,tomato paste,garlic,salt,paprika powder,black pepper powder,cumin powder,dried oregano and mix well.
Add sumac powder,lemon juice and mix well.
Cover and let it marinate for 4 hours to overnight in refrigerator.
Thread chicken boneless cubes into skewers.
In grill pan,add oil and grill skewers from all sides until done.
Give a coal smoke if desired.






"
Recipe 1320,"Water, Salt, Water, Onion, Garlic, Chicken mince, Red chili, Black pepper powder, Cumin powder, Salt, optional, Butter, Allpurpose flour, Milk, Black pepper powder, Salt, Red chili","
In pot,heat water,add salt and oil and bring it to boil,add lasagna sheets and boil until half done (4-5 minutes).
In bowl,add water and boiled lasagna sheets and leave for 5 minutes then strain & set aside.
In pot,add oil,onion and fry until translucent.
Add garlic and mix well.
Add chicken mince and mix well.
Add red chili crushed,black pepper powder,cumin powder,salt,dried oregano,chicken powder and mix well for 2-3 minutes.
Add tomato puree and mix well.
Cover and cook on low flame for 4-5 minutes and set aside.
In saucepan,add butter and let it melt.
Add all-purpose flour and mix well continuously.
Gradually add milk and whisk continuously.
Add black pepper powder,dried oregano,cheddar cheese and salt,whisk well and cook until sauce thickens.
Add fresh basil leaves,whisk well & set aside.
Spread red sauce with mince onto the bottom of baking dish.
On lasagna sheets,add and spread white sauce,red sauce with mince and roll up.
Place all roll up lasagna sheets in prepared baking dish.
Add and spread red sauce with mince,add cheddar cheese,mozzarella cheese,dried oregano,red chili crushed and red jalapenos pepper.
Cover with aluminum foil and bake in preheated oven at 180 C for 15-20 minutes or until cheese melts.


















"
Recipe 1321,"Butter, Onion, Garlic, Beef mince, White pepper powder, Black pepper powder, Salt, Red chili powder, Milk, Egg, Butter, Allpurpose flour, White pepper powder, Salt, Black pepper powder","
In pot,add butter and let it melt,add onion and fry until translucent.
Add garlic and mix well,take out in a bowl & set aside.
In beef mince,add white pepper powder,garam masala powder,black pepper powder,salt,red chili powder,fresh parsley,soy sauce,breadcrumbs,onion+garlic mixture,milk and mix well until well combined.
Add egg,mix well and let it marinate for 30 minutes.
Grease your hands with oil,take a mixture and makes 23-25 small meat balls of equal sizes.
Meat balls can be freeze for later use.
In pot,add oil and meat balls,fry for 2 minutes.
Cover and cook on low flame for 2-3 minutes & set aside.
In the same pot,add butter and let it melt,add all-purpose flour and mix well continually on low flame.
Add heavy cream and whisk well.
Gradually add chicken stock and whisk continuously.
Add mustard paste and mix well.
Add soy sauce and mix well.
Add white pepper powder,salt and black pepper powder,whisk well until smooth and cook until desired consistency.
Add prepared meatballs and mix well.
Cover and let it simmer for 2 minutes.
Add fresh parsley & serve.

















"
Recipe 1322,,
Recipe 1323,"Onion, Green chilies, Tomatoes, Cumin seeds, Ginger garlic paste, Green cardamom, Cinnamon sticks, Cloves, Bay leaves, Turmeric powder, Red chili powder, Salt, Coriander powder, Water, Water, Water, Black pepper powder, Fresh coriander","
In pot,add oil,onion and fry until brown.
Add green chilies and mix well.
Add tomatoes,mix well and cook until tomatoes are soft.
Add cumin seeds and mix well,take out in a bowl and let it cool.
In the same pot,add oil and boneless beef undercut,mix well until changes color.
Add ginger garlic paste,green cardamom,cinnamon sticks,cloves and bay leaves,mix well for 4-5 minutes.
Add turmeric powder,red chili powder,salt,paprika powder,coriander powder and mix well.
Add water,mix well and bring it to boil,cover and cook on low flame for 8-10 minutes.
In grinder,add cooked tomatoes & onion,water,lemon juice and grind well.
Add grinded mixture in a pot and mix well.
Add water,mix well and bring it to boil,cover and cook on medium low flame for 20-25 minutes or until meat is tender.
Add garam masala powder,black pepper powder and mix well.
Remove bay leaves & discard them.
Add green coriander and let it simmer for 2-3 minutes & serve














"
Recipe 1324,"Kashmiri red chilies, Onion, Garlic, Green onion, Fresh coriander, Mince, Salt, Red chili, Black pepper powder, Tomatoes, Green chilies","
In chopper,add kashmiri red chilies,onion,garlic,green onion and fresh coriander,chop well & set aside.
With the help of the cleaver,chop mince well.
Now add chopped onion mixture,mix & chop well with the help of the cleaver.
Add salt,red chili crushed,black pepper powder and tomato paste,mix and chop until well combined.
Put the mixture in a baking tray and spread evenly then cut into desired pieces.
Add tomato and green chili slices.
Bake at 200 C for 45-50 minutes (turn on grill after 20 minutes).







"
Recipe 1325,"Yogurt, Green chili, Ginger garlic paste, Raw papaya paste, Cumin powder, Black pepper powder, Salt, optional, Charcoal, Red chili powder, Cumin seeds, optional, Salt, Citric acid, Green chili, Fresh coriander, Yogurt, Allpurpose flour, Salt, Water, Onion","
In bowl,add yogurt,green chilies,ginger garlic paste,raw papaya paste,cream,cumin powder,black pepper powder,salt and chinese salt,mix well.
Add chicken boneless cubes,mix well and marinate for 30-45 minutes.
In frying pan,add oil and marinated chicken,mix well for 2-3 minutes.
Cover and cook on medium low flame 3-4 minutes then cook on high flame until it dry.
Give a coal smoke for 2 minutes.
In grinder,add red chili powder,cumin seeds,chinese salt,salt,citric acid,green chilies,fresh coriander and yogurt,blend well & set aside.
In bowl,add all-purpose flour,salt and mix well.
Gradually add water and knead until dough is formed,cover and let it rest for 10 minutes.
On working surface,add ghee and spread it.
Take a small dough ball and press it,roll it with the help of rolling pin.
Heat griddle,place rolled dough and fry from both sides with ghee.
On paratha,add cooked chicken,onion rings,spicy yogurt sauce and wrap with butter paper & serve.












"
Recipe 1326,"Yogurt, Ginger garlic paste, Red chili powder, Coriander powder, Salt, Turmeric powder, Yellow food color, Nutmeg powder, Mace powder, Green chilies, Salt, Tamarind pulp, Yogurt, Mint leaves, Salad leaf, Onion, Tomato","
In bowl,add yogurt,ginger garlic paste,lemon juice,red chili powder,garam masala powder,coriander powder,salt,turmeric powder,yellow food color,nutmeg powder,mace powder and whisk well.
Add chicken fillets,mix well and marinate for 30 minutes.
In grill pan,add oil and grill chicken from both sides until done and basting with remaining marinade.
In blender,add green chilies,salt,mayonnaise,tamarind pulp,yogurt,mint leaves and blend until well combined & set aside.
On griddle,add oil and toast burger bun from both sides.
On burger bun,add chutney,salad leaf,grilled chicken fillets,onion,tomato ketchup and tomato slices.
On top bun,add chutney & cover with top bun and slightly fry the whole bun kebab with oil & serve.







"
Recipe 1327,"Red chili powder, Turmeric powder, Coriander powder, Green cardamom, Cloves, Bay leaves, Star anise, Cumin seeds, Green chilies, Ginger garlic paste, Tomato, Salt, Yogurt, Yogurt, Yellow food color, Rice, soaked  boiled with salt, Onion, Fresh coriander, Mint leaves, Pickled green chilies, Rice, Onion","
In chicken,add red chili powder,turmeric powder,coriander powder and garam masala powder,mix well and marinate for 15 minutes.
Cut pickled green chilies with the help of kitchen scissor & set aside.
In pot,add oil,green cardamom,cloves,bay leaves,star anise,cumin seeds and mix well.
Now add marinated chicken,green chilies and mix well.
Add ginger garlic paste and mix well for 2-3 minutes then cover and cook on low flame for 6-8 minutes.
Add tomato and salt,mix well and cook until tomatoes are soft.
Add yogurt and mix well,cover and cook for 5 minutes then cook on high flame until oil separates.
In yogurt,add yellow food color and mix well & add it in pot.
Cut pickled green chilies with the help of kitchen scissor & set aside.
Add half quantity of boiled rice,fried onion,fresh coriander,mint leaves,pickled green chilies,remaining  boiled rice,fried onion and kewra water.
Cover and steam cook on low flame for 8-10 minutes.












"
Recipe 1327,"Instant yeast, Sugar, Water, Allpurpose flour, Salt, Water, Yogurt, Ginger garlic paste, Red chili powder, Coriander powder, Turmeric powder, Black pepper powder, Salt, Onion, Capsicum","
In small jug,add instant yeast,sugar,warm water and mix well,cover and let it rest for 15 minutes.
In all-purpose flour,add salt,oil and mix well.
Now add yeast mixture and mix well.
Gradually add warm water and knead until dough is formed,cover and let it rest for 2-3 hours.
Grease your hands with oil and knead dough again until smooth.Dough is ready.
In chicken boneless cubes,add yogurt,ginger garlic paste,lemon juice,red chili powder,coriander powder,garam masala powder,turmeric powder,black pepper powder and salt,mix well and marinate for 30 minutes.
In frying pan,add oil and marinated chicken and mix well.
Cover and cook on low flame for 8-10 minutes then cook on high flame until its dry.
You can use leftover chicken or chicken chunks.
Take a small dough and make a ball,on pizza tray,spinkle flour and press to make a flat dough and prick with fork.
Spread pizza sauce,add cooked chicken,onion,cheddar cheese,capsicum,mozzarella cheese,black olives and dried oregano.
Cover and can be freeze for up to 1 week then thaw before baking (makes 6-7 mini pizzas).
Option no.1: Without Oven:
In pot,add 1 pack of salt and preheat it for 10 minutes.
Place pizza,cover and let it cook on medium low flame for 15-20 minutes or until cheese melts.
Option no.2: Baking in Oven:
Bake in preheated oven at 180 C for 20-25 minutes.

















"
Recipe 1328,"Black pepper powder, Salt, Egg, Potato, Peas, Black pepper powder, Salt, optional, Butter, Cucumber, Tomato, Eggs, Salt, Red chili, Black pepper powder, Carrot, Green onion, Cabbage, Butter, Lettuce leaf, Cucumber, Carrot","
In bowl,add chicken,mayonnaise,black pepper powder,salt and mix well.
On bread slice,add & spread chicken mixture,boiled egg and top with bread slice & serve.
In bowl,add potatao,peas,black pepper powder,salt,chaat masala and mash well.
On bread slice,spread butter then add and spread potato & peas mixture and top with bread slice.
On bread slice,spread butter and add cucumber and tomato slices,tomato ketchup,mayonnaise and top with bread slice.
Cut into desired shape & serve.
In bowl,add eggs,salt,red chili crushed,black pepper powder and whisk well.
Add carrots,green onion,cabbage and mix well.
In frying pan,add butter and let it melt,add omelet mixture & fry from both sides.
On bread slice,place omelet,lettuce leaf,cheese slice,tomato ketchup,mayonnaise and top with bread slice.
Cut into desired shape and on slice,place cucumber and carrot slices,green olives and insert skewer & serve.











"
Recipe 1329,"Eggs, Yogurt, Salt, Black pepper powder, Onion, Fresh coriander, Fresh coriander","
Boil eggs with salt until hard and remove the shells.
Cut eggs into two halves and separates egg yolks & egg whites.
In bowl,add egg yolks,yogurt,mustard paste,lemon juice,mixed herbs,salt and black pepper powder,mix well.
Add pickled jalapenos,onion,fresh coriander and mix well.
Chop egg whites and add in bowl and give it a good mix.
On toasted bread slice,spread mixture,spinkle paprika powder,fresh coriander & serve.






"
Recipe 1330,"Cumin seeds, Asafoetida, optional, Ginger garlic paste, Tomato, Turmeric powder, Red chili powder, Coriander powder, Salt, Split orange lentil, soaked 1 hour, Dill, Water, melted, Green chili, Soya","
In pot,add oil,cumin seeds and mix well,add asafoetida and mix.
Add ginger garlic paste and mix well.
Add tomato puree,mix well and cook for 3-4 minutes.
Add turmeric powder and mix well for 1 minute.
Add red chili powder,coriander powder,salt and mix well.
Add split orange lentil,soya and mix well.
Add water,mix well and bring it to boil,cover & cook on medium low until tender.
Add garam masala powder,cover and simmer for 2 minutes.
Add melted desi ghee.
Garnish with green chilies,soya,desi ghee and serve.










"
Recipe 1331,"Onion, Ginger garlic paste, Red chili powder, Cumin powder, Coriander powder, Turmeric powder, Salt, Tomatoes, Beef mince, Water, Mint leaves, Fresh coriander, Green chilies, Whole spice powder","
In pot,add oil,onion and fry until translucent,take out half amount of fried onions and set aside.
Fry remaining onion until golden brown,add ginger garlic paste and mix.
Add red chili powder,cumin powder,coriander powder,turmeric powder,salt,tomatoes,mix well and cook until tomatoes are soft.
Add beef mince,mix well and cook on medium high flame until water is reduced (10-15 minutes).
Add water and mix well,cover & cook on low flame for 10-15 minutes.
Add remaining fried onion,mint leaves,fresh coriander,green chilies,whole spice powder and mix well.
Cut colored bell peppers from the center and remove seeds & white part.
Stuffed colored bell peppers with cooked mince,macaroni and again add cooked mince.
Add mozzarella cheese and sprinkle dried parsley.
Prepare the remaining stuffed bell pepper and sprinkle red chili flakes.
Bake in preheated oven at 180 C for 10-12 minutes or until cheese melts.
In frying pan,place stuffed bell peppers,add oil,cover and cook steam flame until cheese melts (12-15 minutes).












"
Recipe 1332,"Semolina, Milk, Cardamom powder, Pure clarified butter, Sago, soaked 30 minutes, Milk, Cardamom powder, Sugar, Pure clarified butter, Almonds, Rock sugar, Milk, Cardamom powder","
In pot,add semolina and roast until fragrant.
Gradually add milk and mix well until well combined.
Add cardamom powder and mix well.
Add pure clarified butter,dry fruit mix powder and mix well.
Add brown sugar or raw sugar and mix well.
Cover and cook until desired consistency.
In pot,add sago and mash well.
Add milk and mix well.
Add cardamom powder and mix well.
Add dry fruit mix powder and whisk well.
Add sugar and mix well.
Add pure clarified butter,mix well and cook until desired consistency.
In mixer,add almonds,rock sugar,instant oats and grind well & set aside.
In pot,add milk and oats mixture and mix well continuously.
Add cardamom powder,mix well and cook until desired consistency.















"
Recipe 1333,"White lentil, washed  soaked overnight, Split chickpeas, washed  soaked overnight, Split yellow lentil, washed  soaked overnight, Split orange lentil, washed  soaked overnight, Water, Water, Green cardamom, Black cardamom, Star anise, Cinnamon sticks, Black peppercorns, Cumin seeds, Fennel seeds, Bay leaf, Red chili powder, Turmeric powder, Nutmeg powder, Mace powder, Onion, Garlic, Ginger, Yogurt, Water, Water, if required for desired consistency, Fresh coriander, Ginger","
In pot,add white lentil,split chickpeas,split yellow lentil,split orange lentil and water,mix well and bring it to boil,cover & cook on low flame until lentils are done (approx. 45 minutes).
Add instant oats and mix well.
Add water and mix well,cover and cook on low flame for 10-12 minutes & keep stirring in between.
In spice mixer,add green cardamom,black cardamom,star anise,cinnmom sticks,black peppercorns, cloves,cumin seeds,fennel seeds,bay leaves and grind to make a fine powder.
In bowl,add grinded powder,red chili powder,turmeric powder,nutmeg powder,mace powder,salt or pink salt and mix well.Daleem spice mix is ready!
In wok,add oil,onion,mix well and fry until onion are brown.
Add garlic,ginger and mix well.
Add chicken,mix well until chicken changes color.
Now add prepared spice mix and mix well.
Add yogurt,mix well and cook for 2-3 minutes.
Add water,mix well and bring it to boil,cover and cook on low flame for 8-10 minutes.
In boiled lentils & oats,add prepared chicken qorma and mix well.
Add pink salt and mix well.
Switch off the flame,blend the whole mixture with the help of the blender.
Switch on the flame,add water and mix well,cook until desired consistency.
In serving bowl,add oats & lentil daleem,fresh coriander,ginger,lemon juice,chaat masala & serve.
















"
Recipe 1334,"Cloves, Black peppercorns, Cumin seeds, Coriander seeds, Nutmeg, Mace, Fennel seeds, Cinnamon sticks, Green cardamom, Star anise, Almonds, Whole red chilies, Chickpeas, optional, Onion, Ginger, Garlic, Green chilies, Fresh coriander, Raw papaya, Beef mince, must be dried, Salt, Red chili powder, Beef fat","
In frying pan,ad cloves,black peppercorns,cumin seeds,coriander seeds,nutmeg,mace,fennel seeds, cinnamon sticks,green cardamom,star anise,almonds,whole red chilies,chickpeas and roast until fragrant & let it cool.
In mixer,add roasted spices and grind to make a fine powder.
In bowl,add grinded spices,rose water and kewra water,mix well & set aside.
Grate onions with the help of the grater and squeeze excess moisture with the help of the muslin cloth & set aside.
In chopper,add ginger,garlic,green chilies,fresh coriander,raw papaya and chop well.
Add beef mince (must be dried),salt,red chili powder,chaat masala,coconut milk powder,grinded spices,squeeze onion and chop until well combined.
Add beef fat and chop well & refrigerate for 2-24 hours.
Grease your hands with oil,take a mixture and make a kebabs onto the wooden & metal skewers and tie the kebabs with a kitchen thread.
In grill pan,add oil and fry kebabs from all sides,cover & steam cook for 2-3 minutes.
Give a coal smoke for 2 minutes.
Put the skewers on BBQ grill and grill until done and basting with oil.











"
Recipe 1335,"Onion, Ginger garlic paste, Cumin seeds, Coriander seeds, Red chili powder, Turmeric powder, Salt, Potatoes, Fresh coriander  Mint leaves, Eggs, Water, Allpurpose flour","
In frying pan,add oil,onion,ginger garlic paste and mix well.
Add fish and mix well.
Add lemon juice,cumin seeds,coriander seeds,red chili powder,curry powder,turmeric powder and salt, mix well and cook for 2-3 minutes.
Add tomato paste,mix well and cook until it dries up & let it cool.
In bowl,add potatoes and mash well.
Add cooked fish mixture,fresh coriander & mint leaves,pickled jalapenos.
Grease your hand with oil and mix well.
Take a mixture and make a shape of croquettes.
In eggs,add water and whisk well.
In bread crumbs,add paprika powder and mix well.
Now coat fish croquettes in all-purpose flour,dip into beaten egg then coat in bread crumbs.
In wok,heat oil and fry croquettes until golden brown.












"
Recipe 1336,"Yogurt, Red chili powder, Coriander powder, Cumin powder, Salt, Kashmiri red chilies, Ginger garlic paste, Almonds, Poppy seeds, Cashew nuts, Onion, Water, Raisins, Eggs, Kashmiri red chilies, Yogurt, Red chili powder, Salt, Coriander powder, Cumin powder, Water","
In bowl,add yogurt,red chili powder,coriander powder,garam masala powder,cumin powder,salt, kashimir red chili powder,ginger garlic paste and mix well.
Add cuts/marks on whole chicken and rub the marination all over the chicken and let it marinate for 4-6 hours or overnight in refrigerator.
In blender,add almonds,poppy seeds,cashew nuts and blend well.
Add fried onion and water,blend until well combined & set aside.
Stuff the marinated chicken with cooked rice,raisins and boiled eggs and tie the whole chicken with thread and use skewers to hold the chicken together.
In a wok,add oil and place stuffed marinated chicken and fry from all sides until golden brown and sprinkle kashmiri red chili powder and keep turning sides in between.
Cover and cook on low flame 6-8 minutes each sides and keep changing sides in between & set aside.
Remove excess oil,add grinded paste and mix well.
Add yogurt and mix well.
Add red chili powder,salt,coriander powder,cumin powder,garam masala powder and mix well for 2 minutes.
Add water,mix well and bring it to boil and cook for 2-3 minutes.
Add fried chicken and basting with the gravy,cover and cook on low flame until oil separates (8-10 minutes) and keep changing sides in between and basting with gravy.
Serve with rice.













"
Recipe 1337,"Allpurpose flour, Eggs, room temperature, Sugar, Water","
In bowl,place sifter,add all-purpose flour and cocoa powder,sift together,mix well & set aside.
In mixing machine,add eggs and sugar,beat until fluffy.
During mixing,add vanilla essence and beat again.
Gradually add dry ingredients and gently fold with the help of the spatula.
Grease 16 x 11 inch baking pan with oil,place butter paper and again grease it with oil.
Now pour prepared batter and spread evenly.
Bake in preheated oven at 230 C for 4 minutes.
After baking,immediately remove from the baking tray,roll carefully and remove butter paper and let it cool.
In mixing machine,add whipping cream and beat until fluffy & set aside.
In double boiler,add water and heat it.
In bowl,add cooking chocolate and mix well until smooth & set aside.
Place butter paper on working table and spread the cake base.
Add whipping cream and evenly spread it.
Add chocolate chips,roll up again to form a swiss roll with the help of the butter paper and keep in freeze for 10 minutes or refrigerate for 20 minutes.
Remove butter paper and apply whipping cream evenly.
Decorate with melted chocolate,chocolate chips and multi sprinkles.
Cut into slices & serve.

















"
